This function calculates N(6, 3, p).

Parameters: #simulations = 1000.
p from 0.04 to 0.08 step 0.001.

p, N(p), SD, size.

0.04, 27.354, 9.64338, 1000
0.041, 29.271, 11.6049, 1000
0.042, 30.224, 12.6905, 1000
0.043, 33.695, 17.1159, 1000
0.044, 40.068, 164.942, 1000
0.045, 46.213, 178.12, 1000
0.046, 53.013, 218.095, 1000
0.047, 73.074, 349.479, 1000
0.048, 107.653, 492.706, 1000
0.049, 130.599, 567.319, 1000
0.05, 198.657, 751.474, 1000
0.051, 279.468, 906.699, 1000
0.052, 448.366, 1165.67, 1000
0.053, 542.868, 1261.15, 1000

--- incomplete
